Driver,Stint,Compound,SlopePerLap,Intercept,R2Score,NumLaps,MeanLapTime,StdLapTime
ALB,1.0,MEDIUM,0.11773811965811962,93.00245846153845,0.06998167972670011,26,94.59192307692307,3.337998812313437
ALB,2.0,INTERMEDIATE,-0.111848684210527,103.85391447368421,0.029169012568405095,7,103.26271428571428,1.6312058391864332
ALB,3.0,MEDIUM,-0.08593956043956046,90.93413186813189,0.8156331758479779,13,90.2466153846154,0.3560489461731427
ALO,1.0,MEDIUM,0.14043863247863236,92.59111692307692,0.08225931390974361,26,94.48703846153846,3.6724451138043332
ALO,2.0,INTERMEDIATE,-0.09828333333333321,103.73225555555555,0.05326807624048879,9,103.14255555555556,1.09951394424093
ALO,3.0,MEDIUM,0.03267582417582458,90.11028571428572,0.05550239082622488,13,90.37169230769231,0.5189610011456167
BOT,1.0,MEDIUM,0.07141307692307682,94.51643,0.027544912635791285,25,95.4448,3.1028352582758885
BOT,2.0,INTERMEDIATE,0.21070000000000022,102.98468888888888,0.2407526212664195,9,104.24888888888889,1.1087493900230763
BOT,3.0,SOFT,-0.22406593406593414,94.33137362637363,0.3248760851118987,13,92.53884615384617,1.470892656552678
HAM,1.0,MEDIUM,0.12175606551878358,91.25167944991054,0.12925133246889708,25,92.86859999999999,2.5622940814824524
HAM,2.0,INTERMEDIATE,0.05471666666666719,101.22703333333334,0.01873730617966063,9,101.55533333333334,1.032096787020374
HAM,3.0,SOFT,-0.017368131868132033,89.92377472527473,0.0662875997025224,13,89.76746153846153,0.25240675822495856
HUL,1.0,MEDIUM,0.07156538461538468,93.11457,0.02854296909691567,25,94.04492,3.0546053482569553
HUL,2.0,INTERMEDIATE,-0.1889727272727282,103.9866272727273,0.14373075278255087,11,102.6638181818182,1.5762470282969225
HUL,3.0,SOFT,0.007580419580419662,90.3264055944056,0.004992347796587526,12,90.406,0.37035500986665676
LEC,1.0,MEDIUM,-0.03158926728586169,93.59298692810458,0.007962634646729083,18,93.2928888888889,1.8366305165495274
LEC,2.0,INTERMEDIATE,0.815360465116279,102.16181395348836,0.48213643070601153,5,105.7494,2.1779298978617283
LEC,3.0,INTERMEDIATE,-0.13825000000000107,103.382,0.06661040487630321,8,102.621625,1.2273650575012323
LEC,4.0,SOFT,0.028021978021978453,90.1952857142857,0.029689952381786622,13,90.41946153846153,0.6084964591749098
MAG,1.0,MEDIUM,0.08238427350427362,93.57665846153844,0.03053710956298994,26,94.68884615384614,3.5358319518489516
MAG,2.0,INTERMEDIATE,0.34416666666666773,102.44308333333333,0.3594941752202223,8,104.33600000000001,1.3152324889539517
MAG,3.0,SOFT,-0.02606373626373641,91.50875604395604,0.019173313012825433,14,91.28721428571428,0.7587780758346588
