Driver,Stint,Compound,StintStartLap,StintEndLap,NumLaps,AvgTyreLife,FirstLapTime,LastLapTime,MeanLapTime,StdLapTime,FirstLapTimeSeconds,LastLapTimeSeconds,DegradationDelta
PIA,1.0,MEDIUM,1.0,28.0,28,14.5,0 days 00:01:38.008000,0 days 00:01:52.976000,94.4959642857143,5.486784368132292,98.008,112.976,14.968000000000004
PIA,2.0,INTERMEDIATE,29.0,38.0,10,5.5,0 days 00:02:01.184000,0 days 00:01:37.106000,103.68230000000001,6.501447361079595,121.184,97.106,-24.078000000000003
PIA,3.0,MEDIUM,39.0,52.0,14,7.5,0 days 00:01:54.658000,0 days 00:01:29.928000,91.19842857142858,6.761570501618071,114.658,89.928,-24.730000000000004
RIC,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:42.715000,0 days 00:01:44.813000,95.28973076923077,3.6575313156028293,102.715,104.813,2.097999999999999
RIC,2.0,INTERMEDIATE,27.0,37.0,11,6.0,0 days 00:02:02.788000,0 days 00:01:40.483000,105.51809090909092,5.90780608101764,122.788,100.483,-22.304999999999993
RIC,3.0,SOFT,38.0,51.0,14,7.5,0 days 00:02:03.328000,0 days 00:01:34.814000,94.19742857142856,8.49003929241869,123.328,94.814,-28.51400000000001
RUS,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:35.211000,0 days 00:01:47.698000,93.86981481481482,4.274320198194704,95.211,107.698,12.486999999999995
RUS,2.0,INTERMEDIATE,28.0,33.0,6,3.5,0 days 00:02:04.342000,0 days 00:01:46.221000,106.19866666666667,9.116161663039259,124.342,106.221,-18.120999999999995
SAI,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:38.699000,0 days 00:01:42.481000,93.6953076923077,2.8121170639819506,98.699,102.481,3.7819999999999965
SAI,2.0,INTERMEDIATE,27.0,39.0,13,7.0,0 days 00:02:01.664000,0 days 00:01:36.802000,103.36392307692307,5.874784087685527,121.664,96.802,-24.861999999999995
SAI,3.0,HARD,40.0,50.0,11,6.0,0 days 00:01:56.753000,0 days 00:01:29.434000,92.15718181818183,8.163195034031489,116.753,89.434,-27.319000000000003
