Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:42:27.544000,LEC,16,0 days 00:01:45.912000,27.0,2.0,,0 days 01:42:21.352000,0 days 00:00:33.574000,0 days 00:00:45.425000,0 days 00:00:26.913000,0 days 01:41:15.259000,0 days 01:42:00.684000,0 days 01:42:27.597000,261.0,235.0,,299.0,False,INTERMEDIATE,8.0,True,Ferrari,0 days 01:40:41.632000,2024-07-07 14:45:38.661,1,16.0,False,,False,False
0 days 01:59:50.012000,LEC,16,0 days 00:01:38.357000,37.0,3.0,,0 days 01:59:44.116000,0 days 00:00:31.693000,0 days 00:00:40.640000,0 days 00:00:26.024000,0 days 01:58:43.401000,0 days 01:59:24.041000,0 days 01:59:50.065000,289.0,246.0,,295.0,False,INTERMEDIATE,10.0,True,Ferrari,0 days 01:58:11.655000,2024-07-07 15:03:08.684,1,15.0,False,,False,False
0 days 01:39:51.397000,BOT,77,0 days 00:01:49.533000,26.0,1.0,,0 days 01:39:45.423000,0 days 00:00:32.030000,0 days 00:00:48.117000,0 days 00:00:29.386000,0 days 01:38:33.949000,0 days 01:39:22.066000,0 days 01:39:51.452000,281.0,213.0,,286.0,False,MEDIUM,26.0,True,Kick Sauber,0 days 01:38:01.864000,2024-07-07 14:42:58.893,1,15.0,False,,False,False
0 days 01:59:14.991000,BOT,77,0 days 00:01:39.987000,37.0,2.0,,0 days 01:59:09.116000,0 days 00:00:31.826000,0 days 00:00:41.525000,0 days 00:00:26.636000,0 days 01:58:06.885000,0 days 01:58:48.410000,0 days 01:59:15.046000,283.0,243.0,,288.0,False,INTERMEDIATE,11.0,True,Kick Sauber,0 days 01:57:35.004000,2024-07-07 15:02:32.033,1,14.0,False,,False,False
0 days 01:28:31.047000,OCO,31,0 days 00:01:41.731000,19.0,1.0,,0 days 01:28:25.181000,0 days 00:00:33.657000,0 days 00:00:40.353000,0 days 00:00:27.721000,0 days 01:27:23.038000,0 days 01:28:03.391000,0 days 01:28:31.112000,272.0,240.0,,283.0,False,SOFT,19.0,True,Alpine,0 days 01:26:49.316000,2024-07-07 14:31:46.345,1,18.0,False,,False,False
0 days 01:32:11.808000,OCO,31,0 days 00:01:39.736000,21.0,2.0,,0 days 01:32:05.879000,0 days 00:00:32.039000,0 days 00:00:41.067000,0 days 00:00:26.630000,0 days 01:31:04.176000,0 days 01:31:45.243000,0 days 01:32:11.873000,271.0,242.0,,284.0,False,INTERMEDIATE,2.0,True,Alpine,0 days 01:30:32.072000,2024-07-07 14:35:29.101,1,18.0,False,,False,False
0 days 01:41:06.651000,OCO,31,0 days 00:01:58.710000,26.0,3.0,,0 days 01:41:00.845000,0 days 00:00:36.241000,0 days 00:00:52.055000,0 days 00:00:30.414000,0 days 01:39:44.247000,0 days 01:40:36.302000,0 days 01:41:06.716000,132.0,236.0,,285.0,False,MEDIUM,5.0,True,Alpine,0 days 01:39:07.941000,2024-07-07 14:44:04.970,1,18.0,False,,False,False
0 days 02:02:02.179000,OCO,31,0 days 00:01:39.440000,38.0,4.0,,0 days 02:01:56.244000,0 days 00:00:31.903000,0 days 00:00:40.487000,0 days 00:00:27.050000,0 days 02:00:54.707000,0 days 02:01:35.194000,0 days 02:02:02.244000,271.0,246.0,,279.0,False,INTERMEDIATE,12.0,True,Alpine,0 days 02:00:22.739000,2024-07-07 15:05:19.768,1,16.0,False,,False,False
0 days 01:28:08.918000,PER,11,0 days 00:01:41.868000,19.0,1.0,,0 days 01:28:03.182000,0 days 00:00:33.889000,0 days 00:00:40.806000,0 days 00:00:27.173000,0 days 01:27:01.013000,0 days 01:27:41.819000,0 days 01:28:08.992000,293.0,240.0,,302.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:26:27.050000,2024-07-07 14:31:24.079,1,15.0,False,,False,False
0 days 01:44:22.769000,PER,11,0 days 00:01:45.224000,28.0,2.0,,0 days 01:44:16.811000,0 days 00:00:33.670000,0 days 00:00:43.489000,0 days 00:00:28.065000,0 days 01:43:11.289000,0 days 01:43:54.778000,0 days 01:44:22.843000,286.0,226.0,,276.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:42:37.545000,2024-07-07 14:47:34.574,1,16.0,False,,False,False
0 days 02:00:08.648000,PER,11,0 days 00:01:39.697000,37.0,3.0,,0 days 02:00:02.791000,0 days 00:00:31.763000,0 days 00:00:41.061000,0 days 00:00:26.873000,0 days 01:59:00.788000,0 days 01:59:41.849000,0 days 02:00:08.722000,291.0,243.0,,294.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 01:58:28.951000,2024-07-07 15:03:25.980,1,16.0,False,,False,False
0 days 02:15:48.234000,PER,11,0 days 00:01:30.795000,47.0,4.0,,0 days 02:15:42.430000,0 days 00:00:29.213000,0 days 00:00:36.523000,0 days 00:00:25.059000,0 days 02:14:46.726000,0 days 02:15:23.249000,0 days 02:15:48.308000,286.0,260.0,,297.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 02:14:17.439000,2024-07-07 15:19:14.468,1,16.0,False,,False,False
0 days 01:17:16.535000,ZHO,24,0 days 00:01:34.235000,12.0,1.0,,0 days 01:17:10.690000,0 days 00:00:30.257000,0 days 00:00:38.295000,0 days 00:00:25.683000,0 days 01:16:12.614000,0 days 01:16:50.909000,0 days 01:17:16.592000,285.0,253.0,,290.0,False,SOFT,12.0,True,Kick Sauber,0 days 01:15:42.300000,2024-07-07 14:20:39.329,1,19.0,False,,False,False
0 days 01:28:55.771000,ZHO,24,0 days 00:01:46.313000,19.0,2.0,,0 days 01:28:49.813000,0 days 00:00:37.038000,0 days 00:00:42.017000,0 days 00:00:27.258000,0 days 01:27:46.553000,0 days 01:28:28.570000,0 days 01:28:55.828000,277.0,238.0,,292.0,False,MEDIUM,7.0,True,Kick Sauber,0 days 01:27:09.458000,2024-07-07 14:32:06.487,1,19.0,False,,False,False
0 days 01:41:48.840000,ZHO,24,0 days 00:01:45.113000,26.0,3.0,,0 days 01:41:42.992000,0 days 00:00:33.799000,0 days 00:00:44.098000,0 days 00:00:27.216000,0 days 01:40:37.583000,0 days 01:41:21.681000,0 days 01:41:48.897000,280.0,235.0,,288.0,False,INTERMEDIATE,7.0,True,Kick Sauber,0 days 01:40:03.727000,2024-07-07 14:45:00.756,1,19.0,False,,False,False
0 days 02:01:10.138000,ZHO,24,0 days 00:01:41.608000,37.0,4.0,,0 days 02:01:04.272000,0 days 00:00:32.279000,0 days 00:00:42.421000,0 days 00:00:26.908000,0 days 02:00:00.866000,0 days 02:00:43.287000,0 days 02:01:10.195000,280.0,238.0,,287.0,False,INTERMEDIATE,11.0,True,Kick Sauber,0 days 01:59:28.530000,2024-07-07 15:04:25.559,1,18.0,False,,False,False
0 days 01:40:30.229000,RUS,63,0 days 00:01:47.698000,27.0,1.0,,0 days 01:40:23.995000,0 days 00:00:31.368000,0 days 00:00:45.879000,0 days 00:00:30.451000,0 days 01:39:13.954000,0 days 01:39:59.833000,0 days 01:40:30.284000,289.0,243.0,,295.0,False,MEDIUM,27.0,True,Mercedes,0 days 01:38:42.531000,2024-07-07 14:43:39.560,1,4.0,False,,False,False
0 days 01:51:07.421000,RUS,63,0 days 00:01:46.221000,33.0,2.0,,0 days 01:50:59.953000,0 days 00:00:32.329000,0 days 00:00:41.835000,0 days 00:00:32.057000,0 days 01:49:53.584000,0 days 01:50:35.419000,0 days 01:51:07.476000,293.0,240.0,,262.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 01:49:21.200000,2024-07-07 14:54:18.229,1,4.0,False,,False,False
